id,     name,                           size,       offset,     end,        privilege,              security
0,      OTP_MEMORY_CHECK_MARK,          96,         0x0,        0x60,       OTP_READ_WRITE,         TRUE,
1,      OTP_AES_KEY,                    32,         0x60,       0x80,       OTP_READ_WRITE,         TRUE,
2,      OTP_MODEL_ID,                   4,          0x100,      0x104,      OTP_READ_WRITE,         TRUE,
3,      OTP_MODEL_KEY,                  16,         0x104,      0x114,      OTP_READ_WRITE,         TRUE,
4,      OTP_ARM_DEVICE_ID,              4,          0x114,      0x118,      OTP_READ_WRITE,         TRUE,
5,      OTP_DEVICE_ROOT_KEY,            16,         0x118,      0x128,      OTP_READ_WRITE,         TRUE,
6,      OTP_BL1_BOOT_PUBLIC_KEY_HASH,   32,         0x128,      0x148,      OTP_READ_WRITE,         TRUE,
7,      OTP_BL2_BOOT_PUBLIC_KEY_HASH,   32,         0x148,      0x168,      OTP_READ_WRITE,         TRUE,
8,      OTP_ARM_LCS,                    4,          0x168,      0x16C,      OTP_READ_WRITE,         TRUE,
9,      OTP_LOCK_CONTROL,               4,          0x16C,      0x170,      OTP_READ_WRITE,         TRUE,
10,     OTP_BL1_SECURITY_COUNTER,       4,          0x188,      0x18C,      OTP_READ_WRITE,         TRUE,
11,     OTP_BL2_SECURITY_COUNTER,       64,         0x200,      0x240,      OTP_READ_WRITE,         TRUE,
12,     OTP_HUK,                        32,         0x240,      0x260,      OTP_READ_WRITE,         TRUE,
13,     OTP_IAK,                        32,         0x260,      0x280,      OTP_READ_WRITE,         TRUE,
14,     OTP_IAK_LEN,                    4,          0x280,      0x284,      OTP_READ_WRITE,         TRUE,
15,     OTP_IAK_TYPE,                   4,          0x284,      0x288,      OTP_READ_WRITE,         TRUE,
16,     OTP_IAK_ID,                     32,         0x288,      0x2A8,      OTP_READ_WRITE,         TRUE,
17,     OTP_BOOT_SEED,                  32,         0x2A8,      0x2C8,      OTP_READ_WRITE,         TRUE,
18,     OTP_LCS,                        4,          0x2C8,      0x2CC,      OTP_READ_WRITE,         TRUE,
19,     OTP_IMPLEMENTATION_ID,          32,         0x2CC,      0x2EC,      OTP_READ_WRITE,         TRUE,
20,     OTP_HW_VERSION,                 32,         0x2EC,      0x30C,      OTP_READ_WRITE,         TRUE,
21,     OTP_VERIFICATION_SERVICE_URL,   32,         0x30C,      0x32C,      OTP_READ_WRITE,         FALSE,
23,     OTP_PROFILE_DEFINITION,         32,         0x32C,      0x34C,      OTP_READ_WRITE,         FALSE,
23,     OTP_ENTROPY_SEED,               64,         0x34C,      0x38C,      OTP_READ_WRITE,         FALSE,
24,     OTP_SECURE_DEBUG_PK,            2,          0x38C,      0x38E,      OTP_READ_WRITE,         FALSE,
25,     OTP_MAC_ADDRESS,                8,          0x3AC,      0x3B4,      OTP_READ_WRITE,         FALSE,
26,     OTP_VDDDIG_BANDGAP,             2,          0x3B4,      0x3B6,      OTP_READ_WRITE,         FALSE,
27,     OTP_DIA,                        2,          0x3B6,      0x3B8,      OTP_READ_WRITE,         FALSE,
28,     OTP_GADC_CALIBRATION,           4,          0x3B8,      0x3BC,      OTP_READ_WRITE,         FALSE,
29,     OTP_SDMADC_CALIBRATION,         4,          0x3BC,      0x3C0,      OTP_READ_WRITE,         FALSE,
30,     OTP_DEVICE_ID,                  8,          0x3C0,      0x3C8,      OTP_READ_WRITE,         FALSE,
31,     OTP_MEMORY_CHECK_VDDDIG,        4,          0x3C8,      0x3CC,      OTP_READ_WRITE,         FALSE,
32,     OTP_GADC_TEMPERATURE,           2,          0x3CC,      0x3CE,      OTP_READ_WRITE,         FALSE,
