Device,Reg,Bit
CKMN,0x6,19
MCHECK,0x6,18
EFS,0x6,17
SPI0,0x6,16
UART0,0x6,15
TIMER0,0x6,14
APB_WDT,0x6,13
FLASH,0x6,6
SYS,0x6,5
AON_WDT,0x6,3
GPIOHIG,0x6,2
RTC,0x6,1
REG,0x6,0
LA,0x7,2
DMA1,0x7,1
DMA0,0x7,0
PWM1,0x8,13
SCLD,0x8,12
SDIO,0x8,11
TRNG,0x8,10
IRDA,0x8,9
PWM0,0x8,8
SADC,0x8,7
SPI1,0x8,6
I2C1,0x8,5
I2C0,0x8,4
UART2,0x8,3
UART1,0x8,2
SDMADC,0x8,1
TIMER1,0x8,0
LIN,0x9,16
SCR,0x9,15
ENET,0x9,5
PSRAM,0x9,4
QSPI1,0x9,3
QSPI0,0x9,2
CAN,0x9,1
USB,0x9,0
I2S2,0xa,8
I2S1,0xa,7
I2S0,0xa,6
AUD,0xa,5
SBC,0xa,0
H264,0xb,19
SCAL1,0xb,7
SCAL0,0xb,6
ROTT,0xb,5
DMAD,0xb,4
DISP,0xb,3
JPGD,0xb,2
YUV,0xb,1
JPGE,0xb,0
MOD,0xc,1
MAC,0xc,0
XVR,0xd,5
BTDM,0xd,0
MBOX_AHB,0xe,0
SCAL1_M,0xf,12
SCAL0_M,0xf,11
ENET_M,0xf,10
USB_M,0xf,9
ROTT_M,0xf,8
DISP_M,0xf,7
LA_M,0xf,6
BTDM_M,0xf,5
HSU_M,0xf,4
MAC_M,0xf,3
DMAD_M,0xf,2
JPDEC_M,0xf,1
JPENC_M,0xf,0
