Device,Secure,Privilege
AON,TRUE,TRUE
AON_WDT,TRUE,TRUE
APB_WDT,TRUE,TRUE
AUD,TRUE,TRUE
BTDM,TRUE,TRUE
BTDM_M,TRUE,TRUE
CAN,TRUE,TRUE
CKMN,TRUE,TRUE
DISP,TRUE,TRUE
DISP_M,TRUE,TRUE
DMA0,TRUE,TRUE
DMA1,TRUE,TRUE
DMAD,TRUE,TRUE
DMAD_M,TRUE,TRUE
EFS,TRUE,TRUE
ENET,TRUE,TRUE
ENET_M,TRUE,TRUE
FLASH,TRUE,TRUE
GPIOHIG,TRUE,TRUE
H264,TRUE,TRUE
HSU_M,TRUE,TRUE
I2C0,TRUE,TRUE
I2C1,TRUE,TRUE
I2S0,TRUE,TRUE
I2S1,TRUE,TRUE
I2S2,TRUE,TRUE
IRDA,TRUE,TRUE
JPDEC_M,TRUE,TRUE
JPENC_M,TRUE,TRUE
JPGD,TRUE,TRUE
JPGE,TRUE,TRUE
LA,TRUE,TRUE
LA_M,TRUE,TRUE
LIN,TRUE,TRUE
MAC,TRUE,TRUE
MAC_M,TRUE,TRUE
MBOX_AHB,TRUE,TRUE
MCHECK,TRUE,TRUE
MOD,TRUE,TRUE
PPRO_MPC,TRUE,TRUE
PSRAM,TRUE,TRUE
PWM0,TRUE,TRUE
PWM1,TRUE,TRUE
QSPI0,TRUE,TRUE
QSPI1,TRUE,TRUE
REG,TRUE,TRUE
ROTT,TRUE,TRUE
ROTT_M,TRUE,TRUE
RTC,TRUE,TRUE
SADC,TRUE,TRUE
SBC,TRUE,TRUE
SCAL0,TRUE,TRUE
SCAL0_M,TRUE,TRUE
SCAL1,TRUE,TRUE
SCAL1_M,TRUE,TRUE
SCLD,TRUE,TRUE
SCR,TRUE,TRUE
SDIO,TRUE,TRUE
SDMADC,TRUE,TRUE
SPI0,TRUE,TRUE
SPI1,TRUE,TRUE
SYS,TRUE,TRUE
TIMER0,TRUE,TRUE
TIMER1,TRUE,TRUE
TRNG,TRUE,TRUE
UART0,TRUE,TRUE
UART1,TRUE,TRUE
UART2,TRUE,TRUE
USB,TRUE,TRUE
USB_M,TRUE,TRUE
XVR,TRUE,TRUE
YUV,TRUE,TRUE
GPIO0,TRUE,TRUE
GPIO1,TRUE,TRUE
GPIO2,TRUE,TRUE
GPIO3,TRUE,TRUE
GPIO4,TRUE,TRUE
GPIO5,TRUE,TRUE
GPIO6,TRUE,TRUE
GPIO7,TRUE,TRUE
GPIO8,TRUE,TRUE
GPIO9,TRUE,TRUE
GPIO10,TRUE,TRUE
GPIO11,TRUE,TRUE
GPIO12,TRUE,TRUE
GPIO13,TRUE,TRUE
GPIO14,TRUE,TRUE
GPIO15,TRUE,TRUE
GPIO16,TRUE,TRUE
GPIO17,TRUE,TRUE
GPIO18,TRUE,TRUE
GPIO19,TRUE,TRUE
GPIO20,TRUE,TRUE
GPIO21,TRUE,TRUE
GPIO22,TRUE,TRUE
GPIO23,TRUE,TRUE
GPIO24,TRUE,TRUE
GPIO25,TRUE,TRUE
GPIO26,TRUE,TRUE
GPIO27,TRUE,TRUE
GPIO28,TRUE,TRUE
GPIO29,TRUE,TRUE
GPIO30,TRUE,TRUE
GPIO31,TRUE,TRUE
GPIO32,TRUE,TRUE
GPIO33,TRUE,TRUE
GPIO34,TRUE,TRUE
GPIO35,TRUE,TRUE
GPIO36,TRUE,TRUE
GPIO37,TRUE,TRUE
GPIO38,TRUE,TRUE
GPIO39,TRUE,TRUE
GPIO40,TRUE,TRUE
GPIO41,TRUE,TRUE
GPIO42,TRUE,TRUE
GPIO43,TRUE,TRUE
GPIO44,TRUE,TRUE
GPIO45,TRUE,TRUE
GPIO46,TRUE,TRUE
GPIO47,TRUE,TRUE
GPIO48,TRUE,TRUE
GPIO49,TRUE,TRUE
GPIO50,TRUE,TRUE
GPIO51,TRUE,TRUE
GPIO52,TRUE,TRUE
GPIO53,TRUE,TRUE
GPIO54,TRUE,TRUE
GPIO55,TRUE,TRUE
