Device,Secure,Privilege
CKMN,FALSE,TRUE
MCHECK,FALSE,TRUE
EFS,FALSE,TRUE
SPI0,FALSE,TRUE
UART0,FALSE,TRUE
TIMER0,FALSE,TRUE
WDT,FALSE,TRUE
FLASH,FALSE,TRUE
SYS,FALSE,TRUE
AON_WDT,FALSE,TRUE
GPIOHIG,FALSE,TRUE
RTC,FALSE,TRUE
REG,FALSE,TRUE
LA,FALSE,TRUE
DMA1,FALSE,TRUE
DMA0,FALSE,TRUE
APB,FALSE,TRUE
SCLD,FALSE,TRUE
SDIO,FALSE,TRUE
TRNG,FALSE,TRUE
IRDA,FALSE,TRUE
PWM0,FALSE,TRUE
PWM1,FALSE,TRUE
SADC,FALSE,TRUE
SPI1,FALSE,TRUE
I2C1,FALSE,TRUE
I2C0,FALSE,TRUE
UART2,FALSE,TRUE
UART1,TRUE,TRUE
SDMADC,FALSE,TRUE
TIMER1,FALSE,TRUE
LIN,FALSE,TRUE
SCR,FALSE,TRUE
ENET,FALSE,TRUE
PSRAM,FALSE,TRUE
QSPI1,FALSE,TRUE
QSPI0,FALSE,TRUE
CAN,FALSE,TRUE
USB,FALSE,TRUE
I2S2,FALSE,TRUE
I2S1,FALSE,TRUE
I2S0,FALSE,TRUE
AUD,FALSE,TRUE
SBC,FALSE,TRUE
H264,FALSE,TRUE
SCAL1,FALSE,TRUE
SCAL0,FALSE,TRUE
ROTT,FALSE,TRUE
DMAD,FALSE,TRUE
DISP,FALSE,TRUE
JPGD,FALSE,TRUE
YUV,FALSE,TRUE
JPGE,FALSE,TRUE
MOD,FALSE,TRUE
MAC,FALSE,TRUE
XVR,FALSE,TRUE
BTDM,FALSE,TRUE
PPRO,FALSE,TRUE
MBOX,FALSE,TRUE
HSU,FALSE,TRUE
JPDEC,FALSE,TRUE
JPENC,FALSE,TRUE
GPIO0,TRUE,TRUE
GPIO1,TRUE,TRUE
GPIO2,FALSE,TRUE
GPIO3,FALSE,TRUE
GPIO4,FALSE,TRUE
GPIO5,FALSE,TRUE
GPIO6,FALSE,TRUE
GPIO7,FALSE,TRUE
GPIO8,FALSE,TRUE
GPIO9,FALSE,TRUE
GPIO10,FALSE,TRUE
GPIO11,FALSE,TRUE
GPIO12,FALSE,TRUE
GPIO13,FALSE,TRUE
GPIO14,FALSE,TRUE
GPIO15,FALSE,TRUE
GPIO16,FALSE,TRUE
GPIO17,FALSE,TRUE
GPIO18,FALSE,TRUE
GPIO19,FALSE,TRUE
GPIO20,FALSE,TRUE
GPIO21,FALSE,TRUE
GPIO22,FALSE,TRUE
GPIO23,FALSE,TRUE
GPIO24,FALSE,TRUE
GPIO25,FALSE,TRUE
GPIO26,FALSE,TRUE
GPIO27,FALSE,TRUE
GPIO28,FALSE,TRUE
GPIO29,FALSE,TRUE
GPIO30,FALSE,TRUE
GPIO31,FALSE,TRUE
GPIO32,FALSE,TRUE
GPIO33,FALSE,TRUE
GPIO34,FALSE,TRUE
GPIO35,FALSE,TRUE
GPIO36,FALSE,TRUE
GPIO37,FALSE,TRUE
GPIO38,FALSE,TRUE
GPIO39,FALSE,TRUE
GPIO40,FALSE,TRUE
GPIO41,FALSE,TRUE
GPIO42,FALSE,TRUE
GPIO43,FALSE,TRUE
GPIO44,FALSE,TRUE
GPIO45,FALSE,TRUE
GPIO46,FALSE,TRUE
GPIO47,FALSE,TRUE
GPIO48,FALSE,TRUE
GPIO49,FALSE,TRUE
GPIO50,FALSE,TRUE
GPIO51,FALSE,TRUE
GPIO52,FALSE,TRUE
GPIO53,FALSE,TRUE
GPIO54,FALSE,TRUE
GPIO55,FALSE,TRUE
