id,     name,                           size,       offset,        end,           privilege,             security
0,      OTP_RFCALI,                     1024,        0x0,          0x400,       OTP_READ_WRITE,           FALSE,
1,      OTP_RESERVED_1,                 512,         0x400,        0x600,       OTP_READ_WRITE,           FALSE,
2,      OTP_RANDOM_KEY_1,               32,          0x600,        0x620,       OTP_READ_WRITE,           TRUE,
3,      OTP_RANDOM_KEY_2,               32,          0x620,        0x640,       OTP_READ_WRITE,           TRUE,
4,      OTP_RESERVED_2,                 448,         0x640,        0x800,       OTP_READ_WRITE,           TRUE,
5,      OTP_EK_2,                       16,          0x800,        0x810,       OTP_READ_WRITE,           TRUE,
6,      OTP_EK_3,                       16,          0x810,        0x820,       OTP_READ_WRITE,           TRUE,
7,      OTP_EK_1,                       32,          0x820,        0x840,       OTP_READ_WRITE,           TRUE,
8,      OTP_EK_11,                      32,          0x840,        0x860,       OTP_READ_WRITE,           TRUE,
9,      OTP_EK_12,                      32,          0x860,        0x880,       OTP_READ_WRITE,           TRUE,
10,     OTP_EK_13,                      32,          0x880,        0x8A0,       OTP_READ_WRITE,           TRUE,
11,     OTP_EK_14,                      32,          0x8A0,        0x8C0,       OTP_READ_WRITE,           TRUE,
12,     OTP_EK_15,                      32,          0x8C0,        0x8E0,       OTP_READ_WRITE,           TRUE,
13,     OTP_EK_1X,                      32,          0x8E0,        0x900,       OTP_READ_WRITE,           TRUE,
14,     OTP_RESERVED_3,                 448,         0x900,        0x800,       OTP_READ_WRITE,           TRUE,
